Наименование,Номер документа,Принят,Опубликован,Источник,Принявший орган,Номер опубликования,Имя файла
"О внесении изменений в административный регламент по предоставлению муниципальной услуги «Предоставление оформленных в установленном порядке архивных справок или копий архивных документов, связанных с социальной защитой граждан, предусматривающей их пенсионное обеспечение, а также получение льгот и компенсаций в соответствии с законодательством Российской Федерации», утвержденный постановлением Администрации городского округа Краснотурьинск от 23.06.2014 № 910",1349,2018-12-05,2018-12-05,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1309,№ 1349.pdf
"Об утверждении административного регламента по предоставлению муниципальной услуги «Заключение  договора социального найма жилого помещения, внесение изменений в договор социального найма жилого помещения, расторжение договора социального найма жилого помещения»",742,2019-07-16,2019-07-16,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1910,№ 742.pdf
"О внесении изменений в Положение об организации похоронного дела и содержании кладбищ, расположенных на территории городского округа Краснотурьинск, утвержденное постановлением Администрации городского округа Краснотурьинск от",909,2019-09-02,2019-09-02,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,2025,№ 909.pdf
"Об утверждении средней рыночной стоимости одного квадратного метра общей площади жилого помещения, сложившейся в границах городского округа Краснотурьинск, на четвертый квартал 2019 года",1013,2019-10-01,2019-10-01,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,2113,№ 1013.pdf
О внесении изменений в постановление Администрации городского округа Краснотурьинск от 06.12.2017 № 1397 «О создании межведомственной комиссии по вопросам укрепления финансовой самостоятельности бюджета городского округа Краснотурьинск»,1014,2019-10-01,2019-10-01,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,2114,№ 1014.pdf
"О внесении изменений в муниципальную программу «Социальная поддержка и социальное обслуживание населения городского округа Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 13.01.2015 № 5",проект,2020-01-20,2020-01-20,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,2305,Проект изм на 2020.doc
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Развитие физической культуры, спорта и молодежной политики в городском округе Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 19.02.2015 № 250",проект,2019-12-10,2019-12-10,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,2229,пост внес изм.doc
"О внесении изменений в порядок предоставления в 2020 году субсидии из бюджета городского округа Краснотурьинск юридическим лицам(за исключением субсидий государственным (муниципальным) учреждениям) в  целях финансового обеспечения затрат, связанных с подготовкой коммунальных сетей к отопительному сезону 2020-2021 годов, утвержденный постановлением Администрации городского округа Краснотурьинск от 31.03.2020 № 285",проект,2020-05-08,2020-05-08,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,2594,0. Порядок предоставления субсидии на кап ремонт сетей УКК № 285 от 31.03.2020 ред № 1.doc
О создании комиссии по повышению устойчивости функционирования объектов экономики на территории городского округа Краснотурьинск в мирное и военное время,проект,2020-06-09,2020-06-09,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,2679,10. Постановление о создании комиссии по ПУФ организаций - 2020 (согласованное).doc
О внесении изменений в отдельные нормативные правовые акты Главы городского округа Краснотурьинск,38,2020-07-15,2020-07-15,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,2765,№ 38.pdf
О внесении изменений в постановление Администрации городского округа Краснотурьинск от 17.02.2014 № 187 «О создании постоянно действующей межведомственной комиссии для организации и проведения массовых мероприятий на территории городского округа Краснотурьинск»,721,2020-08-20,2020-08-20,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,2845,№ 721.pdf
"Об утверждении порядка расходования средств областного бюджета, предоставленных в форме иных межбюджетных трансфертов бюджету городского округа Краснотурьинск на приобретение устройств (средств) дезинфекции и медицинского контроля для муниципальных организаций в сфере культуры в целях профилактики и устранения последствий распространения новой коронавирусной инфекции в 2020 году",821,2020-09-18,2020-09-18,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,2922,№ 821.pdf
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Повышение эффективности управления муниципальной собственностью городского округа Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 09.04.2015 № 458",проект,2020-10-22,2020-10-22,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,2962,ПРОЕКТ Внесение изм в програм Повыш эффект_14.10.2020.docx
Об отмене постановления Администрации городского округаКраснотурьинск от 28.06.2010  № 896 «Об утверждении Административного регламента по проведению  проверок органами муниципального контроля»,1143,2020-12-30,2020-12-30,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3125,№ 1143.pdf
