Наименование,Номер документа,Принят,Опубликован,Источник,Принявший орган,Номер опубликования,Имя файла
"О создании рабочей группы межведомственной комиссии по вопросам обеспечения занятости населения, противодействия формированию просроченной задолженности по заработной плате и нелегальной занятости на территории городского округа Краснотурьинск",01-02/253-р,2024-08-20,2024-08-20,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5759,№ 01-02-253-р.pdf
"О внесении изменений в комплексную программу«Укрепление общественного здоровья населения городского округа Краснотурьинск до 2027года», утвержденную постановлением Администрации городского округа Краснотурьинск от 29.04.2021 № 353",01-01/620,2024-08-19,2024-08-19,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5758,№ 01-01-620.pdf
Об установлении публичного сервитута на земельный участок с кадастровым номером 66:50:0539002:118,01-01/628,2024-08-21,2024-08-21,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5761,№ 01-01-628.pdf
"О внесении изменений в положение о единовременном денежном вознаграждении спортсменам городского округа Краснотурьинск, достигшим высоких спортивных результатов, утвержденное постановлением Администрации городского округа Краснотурьинск от 16.07.2024 № 01-01/527",01-01/615,2024-08-16,2024-08-16,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5755,№ 01-01-615.pdf
"«О внесении изменений в проект организации дорожного движения на улично-дорожной сети муниципального образования городской округ Краснотурьинск, утвержденный постановлением Администрации городского округа Краснотурьинск № 72 от 20.01.2015».",проект,2024-08-21,2024-08-21,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5760,Постановление Администрации (нормативное) _О внесении изменений в проект организации дорожного движе.doc
Об оказании содействия военному комиссариату городов Краснотурьинск и Карпинск в организации и проведении осеннего призыва на военную службу граждан 1994 – 2006 годов рождения,01-01/612,2024-08-16,2024-08-16,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5756,№ 01-01-612.pdf
"Об утверждении порядка осмотра объекта индивидуального жилищного строительства или дома блокированной застройки для составления акта освидетельствования проведения основных работ по строительству (реконструкции) объекта индивидуального жилищного строительства либо реконструкции дома блокированной застройки, осуществляемых с привлечением средств материнского (семейного) капитала, на территории городского округа Краснотурьинск",01-01/619,2024-08-19,2024-08-19,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5757,№ 01-01-619.pdf
"О внесении изменений постановление Администрации городского округа Краснотурьинск от 12.05.2022 № 01-01/567 «Об утверждении административного регламента предоставления муниципальной услуги «Выдача акта освидетельствования проведения основных работ по строительству (реконструкции) объекта индивидуального жилищного строительства, осуществляемому с привлечением средств материнского (семейного) капитала»",01-01/616,2024-08-16,2024-08-16,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5754,№ 01-01-616.pdf
"О внесении изменений в постановление Главы городского округа Краснотурьинск от 23.05.2024 № 01-03/22 «Об увеличении (индексации) в 2024 году заработной платы работников муниципальных бюджетных, автономных и казенных учреждений городского округа Краснотурьинск»",01-03/37,2024-08-23,2024-08-23,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5766,№ 01-03-37.pdf
"О предоставлении дополнительных мер социальной поддержки  в виде единовременной денежной выплаты семье гражданина, заключившего контракт о прохождении военной службы   с Министерством обороны Российской Федерации",01-01/645,2024-08-27,2024-08-27,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5762,№ 01-01-645.pdf
"О предоставлении дополнительных мер социальной поддержки в виде единовременной денежной выплаты семье гражданина, заключившего контракт о прохождении военной службы  с Министерством обороны Российской Федерации",01-01/645,2024-08-27,2024-08-27,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5765,№ 01-01-645.pdf
О внесении изменений в постановление  Главы городского округа Краснотурьинск от 16.06.2016 № 45  «О создании межведомственной комиссии по обследованию мест массового пребывания людей на территории  городского округа Краснотурьинск»,01-03/38 ,2024-08-27,2024-08-27,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,5763,№ 01-03-38.pdf
Об утверждении актуализированной схемы теплоснабжения муниципального образования «Городской округ Краснотурьинск»с 2021 по 2040 год (актуализация на 2024 год),01-01/552,2024-07-29,2024-07-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5725,
